I0316 18:56:59.925303       1 reflector.go:122] Starting reflector *v1.ReplicaSet (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925323       1 reflector.go:160] Listing and watching *v1.ReplicaSet from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925318       1 reflector.go:122] Starting reflector *v1beta1.PodDisruptionBudget (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925339       1 reflector.go:160] Listing and watching *v1beta1.PodDisruptionBudget from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925355       1 azure_client.go:440] azure: using client_id+client_secret to retrieve access token
I0316 18:56:59.925363       1 reflector.go:122] Starting reflector *v1.StatefulSet (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925378       1 reflector.go:160] Listing and watching *v1.StatefulSet from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925403       1 reflector.go:122] Starting reflector *v1.Node (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925430       1 reflector.go:160] Listing and watching *v1.Node from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925416       1 reflector.go:122] Starting reflector *v1.StorageClass (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925470       1 reflector.go:160] Listing and watching *v1.StorageClass from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925623       1 reflector.go:122] Starting reflector *v1.Service (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925638       1 reflector.go:160] Listing and watching *v1.Service from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925649       1 reflector.go:122] Starting reflector *v1.PersistentVolumeClaim (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925658       1 reflector.go:160] Listing and watching *v1.PersistentVolumeClaim from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925716       1 reflector.go:122] Starting reflector *v1.PersistentVolume (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925722       1 reflector.go:122] Starting reflector *v1.ReplicationController (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925729       1 reflector.go:160] Listing and watching *v1.PersistentVolume from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925734       1 reflector.go:160] Listing and watching *v1.ReplicationController from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925813       1 reflector.go:122] Starting reflector *v1.Pod (0s) from k8s.io/client-go/informers/factory.go:133
I0316 18:56:59.925828       1 reflector.go:160] Listing and watching *v1.Pod from k8s.io/client-go/informers/factory.go:133
E0316 18:57:29.925863       1 azure_scale_set.go:569] Failed to get current size for vmss "k8s-agentpool1-19133377-vmss": azure.BearerAuthorizer#WithAuthorization: Failed to refresh the Token for request to https://management.azure.com/subscriptions/471d33fd-a776-405b-947c-467c291dc741/resourceGroups/claro-aks-engine/providers/Microsoft.Compute/virtualMachineScaleSets?api-version=2018-10-01: StatusCode=0 -- Original Error: adal: Failed to execute the refresh request. Error = 'Post https://login.microsoftonline.com/72f988bf-86f1-41af-91ab-2d7cd011db47/oauth2/token?api-version=1.0: dial tcp: i/o timeout'
F0316 18:57:29.926213       1 azure_cloud_provider.go:169] Failed to create Azure Manager: azure.BearerAuthorizer#WithAuthorization: Failed to refresh the Token for request to https://management.azure.com/subscriptions/471d33fd-a776-405b-947c-467c291dc741/resourceGroups/claro-aks-engine/providers/Microsoft.Compute/virtualMachineScaleSets?api-version=2018-10-01: StatusCode=0 -- Original Error: adal: Failed to execute the refresh request. Error = 'Post https://login.microsoftonline.com/72f988bf-86f1-41af-91ab-2d7cd011db47/oauth2/token?api-version=1.0: dial tcp: i/o timeout'
goroutine 28 [running]:
k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog.stacks(0x4cb8f01, 0x3, 0xc00121a400, 0x243)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog/klog.go:900 +0xb1
k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog.(*loggingT).output(0x4cb8fe0, 0xc000000003, 0xc0004061c0, 0x4c292f6, 0x17, 0xa9, 0x0)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog/klog.go:815 +0xe6
k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog.(*loggingT).printf(0x4cb8fe0, 0x3, 0x2b9056b, 0x22, 0xc000982b38, 0x1, 0x1)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog/klog.go:727 +0x14e
k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog.Fatalf(...)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/klog/klog.go:1309
k8s.io/autoscaler/cluster-autoscaler/cloudprovider/azure.BuildAzure(0xa, 0x3fee666666666666, 0x3fe0000000000000, 0x45d964b800, 0x1176592e000, 0x0, 0x4e200, 0x0, 0x186a0000000000, 0x0, ...)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/cloudprovider/azure/azure_cloud_provider.go:169 +0x233
k8s.io/autoscaler/cluster-autoscaler/cloudprovider/builder.buildCloudProvider(0xa, 0x3fee666666666666, 0x3fe0000000000000, 0x45d964b800, 0x1176592e000, 0x0, 0x4e200, 0x0, 0x186a0000000000, 0x0, ...)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/cloudprovider/builder/builder_all.go:52 +0x126
k8s.io/autoscaler/cluster-autoscaler/cloudprovider/builder.NewCloudProvider(0xa, 0x3fee666666666666, 0x3fe0000000000000, 0x45d964b800, 0x1176592e000, 0x0, 0x4e200, 0x0, 0x186a0000000000, 0x0, ...)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/cloudprovider/builder/cloud_provider_builder.go:45 +0x1cc
k8s.io/autoscaler/cluster-autoscaler/core.initializeDefaultOptions(0xc000fb5848, 0x0, 0xc0005a40c0)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/core/autoscaler.go:96 +0x30c
k8s.io/autoscaler/cluster-autoscaler/core.NewAutoscaler(0xa, 0x3fee666666666666, 0x3fe0000000000000, 0x45d964b800, 0x1176592e000, 0x0, 0x4e200, 0x0, 0x186a0000000000, 0x0, ...)
